NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.663215099993977,None,17.86900939999032,None,2,0.8301924999977928,17.86900939999032,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
1,3,TMT-B_1_practice.png,TMT-B_1_practice.png,TMT-B_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.720064399996772,None,21.953374599994277,None,1,0,1.6344449000025634,21.953374599994277,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
A,1,TMT-B_1_practice.png,TMT-B_1_practicefirstgreen.png,TMT-B_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.738249599991832,None,3,0,0.03908220000448637,23.738249599991832,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
2,3,TMT-B_1_practicelinestimulus0.png,TMT-B_1_practicegreenlinestimulus0.png,TMT-B_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.891269799991278,None,1,0,0.7836343999952078,23.891269799991278,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
B,2,TMT-B_1_practicelinestimulus1.png,TMT-B_1_practicegreenlinestimulus1.png,TMT-B_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85693639999954,None,2,1,3.0682222000032198,24.85693639999954,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
3,1,TMT-B_1_practicelinestimulus2.png,TMT-B_1_practicegreenlinestimulus2.png,TMT-B_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07292169998982,None,2,0,0.5378642000141554,28.07292169998982,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
C,3,TMT-B_1_practicelinestimulus3.png,TMT-B_1_practicegreenlinestimulus3.png,TMT-B_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.757082799987984,None,1,0,0.12248679999902379,28.757082799987984,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
4,2,TMT-B_1_practicelinestimulus4.png,TMT-B_1_practicegreenlinestimulus4.png,TMT-B_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.029845899989596,None,3,0,0.021009600008255802,29.029845899989596,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
D,1,TMT-B_1_practicelinestimulus5.png,TMT-B_1_practicegreenlinestimulus5.png,TMT-B_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.229703599994536,None,3,0,0.13473060000978876,29.229703599994536,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
5,3,TMT-B_1_practicelinestimulus6.png,TMT-B_1_practicegreenlinestimulus6.png,TMT-B_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.507253899995703,None,1,0,0.4921786999912001,29.507253899995703,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
E,2,TMT-B_1_practicelinestimulus7.png,TMT-B_1_practicegreenlinestimulus7.png,TMT-B_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.196862199998577,None,3,0,0.15496689999417868,30.196862199998577,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
6,3,TMT-B_1_practicelinestimulus8.png,TMT-B_1_practicegreenlinestimulus8.png,TMT-B_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.51231399999233,None,1,0,0.6395044999953825,30.51231399999233,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
F,2,TMT-B_1_practicelinestimulus9.png,TMT-B_1_practicegreenlinestimulus9.png,TMT-B_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.28027319999819,None,2,1,0.5250981999997748,31.28027319999819,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
None,None,None,TMT-B_1_practicegreenlinestimulus10.png,TMT-B_1_practiceredlinestimulus10.png,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9782414999936,None,None,1,,31.9782414999936,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.041790599992964,None,2,0.6751928000012413,33.041790599992964,None,,,,,,,,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
1,['3'],TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,33.742033099988475,None,,,,,,,,,,,,,,37.026844499996514,None,['1'],0,[1.0848541999876034],37.026844499996514,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
2,['1'],TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.26903469998797,None,['2'],0,[-0.01237129999208264],38.26903469998797,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
3,['2'],TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.40716769998835,None,['3'],0,[-0.08659789999364875],38.40716769998835,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
4,['3'],TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.54595239998889,None,['1'],0,[-0.022170299998833798],38.54595239998889,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
5,['2'],TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.68338859999494,None,['2'],1,[-0.06494940000993665],38.68338859999494,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
6,['1'],TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.82188669999596,None,['3'],0,[-0.13008160000026692],38.82188669999596,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
7,['3'],TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.96054249998997,None,"['1', '2']",0,"[-0.1079435999999987, -0.029380799998762086]",38.96054249998997,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
8,['1'],TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.098328899999615,None,['3'],0,[-0.06586899999820162],39.098328899999615,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
9,['3'],TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.23623969999608,None,['1'],0,[-0.030924799997592345],39.23623969999608,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
10,['2'],TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3746034999931,None,['2'],1,[-0.09746930000255816],39.3746034999931,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
11,['1'],TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5129203999968,None,['3'],0,[-0.13329880000674166],39.5129203999968,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
12,['3'],TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.65022319999116,None,"['1', '2']",0,"[-0.08435629999439698, -0.01588649999757763]",39.65022319999116,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
13,['1'],TMT-B_1_1linestimulus10.png,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.77445899999293,None,['3'],0,[-0.03200720000313595],39.77445899999293,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
14,['2'],TMT-B_1_1linestimulus11.png,TMT-B_1_1greenlinestimulus11.png,TMT-B_1_1redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.91194589999213,None,['1'],0,[0.01273080000828486],39.91194589999213,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
15,['3'],TMT-B_1_1linestimulus12.png,TMT-B_1_1greenlinestimulus12.png,TMT-B_1_1redlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.05081960000098,None,['2'],0,[-0.026132799990591593],40.05081960000098,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
16,['2'],TMT-B_1_1linestimulus13.png,TMT-B_1_1greenlinestimulus13.png,TMT-B_1_1redlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.189867199995206,None,['3'],0,[-0.058691599988378584],40.189867199995206,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
17,['1'],TMT-B_1_1linestimulus14.png,TMT-B_1_1greenlinestimulus14.png,TMT-B_1_1redlinestimulus14.png,None,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.32825330000196,None,['1'],1,[-0.00962309999158606],40.32825330000196,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
18,['3'],TMT-B_1_1linestimulus15.png,TMT-B_1_1greenlinestimulus15.png,TMT-B_1_1redlinestimulus15.png,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.467637199995806,None,['2'],0,[-0.04474730000947602],40.467637199995806,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
19,['2'],TMT-B_1_1linestimulus16.png,TMT-B_1_1greenlinestimulus16.png,TMT-B_1_1redlinestimulus16.png,None,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.604051299989806,None,['1'],0,[0.27326289999473374],40.604051299989806,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
20,['3'],TMT-B_1_1linestimulus17.png,TMT-B_1_1greenlinestimulus17.png,TMT-B_1_1redlinestimulus17.png,None,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.008854499988956,None,['2'],0,[-0.01937700000416953],41.008854499988956,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
21,['2'],TMT-B_1_1linestimulus18.png,TMT-B_1_1greenlinestimulus18.png,TMT-B_1_1redlinestimulus18.png,None,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.145607999991626,None,['3'],0,[-0.047345500002847984],41.145607999991626,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
22,['3'],TMT-B_1_1linestimulus19.png,TMT-B_1_1greenlinestimulus19.png,TMT-B_1_1redlinestimulus19.png,None,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.282755199994426,None,['1'],0,[0.05274629998893943],41.282755199994426,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
23,['2'],TMT-B_1_1linestimulus20.png,TMT-B_1_1greenlinestimulus20.png,TMT-B_1_1redlinestimulus20.png,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.566376299990225,None,['2'],1,[-0.11087699999916367],41.566376299990225,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
24,['3'],TMT-B_1_1linestimulus21.png,TMT-B_1_1greenlinestimulus21.png,TMT-B_1_1redlinestimulus21.png,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.70130159999826,None,['3'],1,[-0.02907279999635648],41.70130159999826,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
25,['2'],TMT-B_1_1linestimulus22.png,TMT-B_1_1greenlinestimulus22.png,TMT-B_1_1redlinestimulus22.png,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.84012939999229,None,['2'],1,[1.037426000009873],41.84012939999229,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
None,None,TMT-B_1_1linestimulus23.png,TMT-B_1_1greenlinestimulus23.png,TMT-B_1_1redlinestimulus23.png,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.09696759999497,None,None,1,,43.09696759999497,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
1,['3'],TMT-B_1_2.png,TMT-B_1_2.png,TMT-B_1_2.png,10,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,44.08187569999427,None,,,,,,,,,,,,,,47.219953399995575,None,['1'],0,[0.7152819999901112],47.219953399995575,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
2,['2'],TMT-B_1_2.png,TMT-B_1_2firstgreen.png,TMT-B_1_2firstred.png,10,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.04889479999838,None,['2'],1,[0.046002999995835125],48.04889479999838,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
3,['3'],TMT-B_1_2linestimulus0.png,TMT-B_1_2greenlinestimulus0.png,TMT-B_1_2redlinestimulus0.png,10,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.23595729999943,None,['3'],1,[-0.1145535999967251],48.23595729999943,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
4,['2'],TMT-B_1_2linestimulus1.png,TMT-B_1_2greenlinestimulus1.png,TMT-B_1_2redlinestimulus1.png,10,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.32580649999727,None,['1'],0,[-0.06403400000999682],48.32580649999727,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
5,['1'],TMT-B_1_2linestimulus2.png,TMT-B_1_2greenlinestimulus2.png,TMT-B_1_2redlinestimulus2.png,10,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.46084999998857,None,"['2', '3']",0,"[-0.1060004999890225, -0.028409299993654713]",48.46084999998857,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
