NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,,,0,0,0,0,,,,,,,,,,,,,6.769524700001057,None,6.769524700001057,None,7.505807699999423,None,2,0,0.9575321999982407,7.505807699999423,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,,,0,1,1,1,,,,,,,,,,,,,,,,,8.54019960000005,None,2,1,0.5526815000011993,8.54019960000005,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,0,2,2,2,,,,,,,,,,,,,,,,,9.164923600001202,None,2,0,0.6123139000010269,9.164923600001202,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,,0,3,3,3,,,,,,,,,,,,,,,,,9.84573310000269,None,2,0,0.7124540000004345,9.84573310000269,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,,0,4,4,4,,,,,,,,,,,,,,,,,10.63024299999961,None,2,1,0.4080995000003895,10.63024299999961,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,,0,5,5,5,,,,,,,,,,,,,,,,,11.123312100000476,None,2,0,0.31249989999923855,11.123312100000476,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,,0,6,6,6,,,,,,,,,,,,,,,,,11.512333700000454,None,2,1,0.304298099999869,11.512333700000454,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,,0,7,7,7,,,,,,,,,,,,,,,,,11.894382500002393,None,2,0,0.47578259999863803,11.894382500002393,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,,0,8,8,8,,,,,,,,,,,,,,,,,12.442933900001663,None,2,1,0.24517980000018724,12.442933900001663,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,,0,9,9,9,,,,,,,,,,,,,,,,,12.770079300000361,None,2,0,0.2735708000000159,12.770079300000361,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,,,0,10,10,10,,,,,,,,,,,,,,,,,13.116337999999814,None,2,1,0.29942970000047353,13.116337999999814,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,,,0,11,11,11,,,,,,,,,,,,,,,,,13.499186600001849,None,2,0,0.9616208000006736,13.499186600001849,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,,,0,12,12,12,,,,,,,,,,,,,,,,,14.547720200000185,None,None,1,,14.547720200000185,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,3,TMT-BX_1_1.png,TMT-BX_1_1.png,TMT-BX_1_1.png,,7,,,,,,0,0,0,0,,,,,,,,,,,,,18.60227620000296,None,2,0,0.44965290000254754,18.60227620000296,None,15.544151000001875,None,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-BX_1_1.png,TMT-BX_1_1firstgreen.png,TMT-BX_1_1firstred.png,,G,,,,,,0,1,1,1,,,,,,,,,,,,,19.12308160000248,None,2,0,0.25851110000076005,19.12308160000248,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,,0,2,2,2,,,,,,,,,,,,,19.470506199999363,None,2,1,0.2601561000010406,19.470506199999363,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,,0,3,3,3,,,,,,,,,,,,,19.811046400001942,None,2,0,0.28582509999978356,19.811046400001942,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,,0,4,4,4,,,,,,,,,,,,,20.185612299999775,None,2,0,0.27200269999957527,20.185612299999775,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,,0,5,5,5,,,,,,,,,,,,,20.554262699999526,None,2,0,0.2533160000020871,20.554262699999526,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,,0,6,6,6,,,,,,,,,,,,,20.900915300000634,None,2,1,0.2998907000001054,20.900915300000634,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,,0,7,7,7,,,,,,,,,,,,,21.28270210000119,None,2,0,0.333443300001818,21.28270210000119,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,,0,8,8,8,,,,,,,,,,,,,21.713570800002344,None,2,1,0.37357210000118357,21.713570800002344,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,,0,9,9,9,,,,,,,,,,,,,22.17869939999946,None,2,0,0.3133406000015384,22.17869939999946,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,,0,10,10,10,,,,,,,,,,,,,22.581629300002533,None,2,1,0.4178433999986737,22.581629300002533,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,,0,11,11,11,,,,,,,,,,,,,23.09530260000247,None,2,0,0.6061656000019866,23.09530260000247,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,,0,12,12,12,,,,,,,,,,,,,23.798059900000226,None,None,1,,23.798059900000226,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-B_1_2.png,TMT-B_1_2.png,TMT-B_1_2.png,10,,1,,,,,,,,,0,0,0,0,,,,,,,,,27.85902300000089,None,2,1,0.36957819999952335,27.85902300000089,None,24.800857600002928,None,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,3,TMT-B_1_2.png,TMT-B_1_2firstgreen.png,TMT-B_1_2firstred.png,10,,A,,,,,,,,,0,1,1,1,,,,,,,,,28.31054420000146,None,2,0,0.21443859999999404,28.31054420000146,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-B_1_2linestimulus0.png,TMT-B_1_2greenlinestimulus0.png,TMT-B_1_2redlinestimulus0.png,10,,2,,,,,,,,,0,2,2,2,,,,,,,,,28.609165400001075,None,2,0,0.1828892999983509,28.609165400001075,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-B_1_2linestimulus1.png,TMT-B_1_2greenlinestimulus1.png,TMT-B_1_2redlinestimulus1.png,10,,B,,,,,,,,,0,3,3,3,,,,,,,,,28.915025100002822,None,2,1,0.1295191999997769,28.915025100002822,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,3,TMT-B_1_2linestimulus2.png,TMT-B_1_2greenlinestimulus2.png,TMT-B_1_2redlinestimulus2.png,10,,3,,,,,,,,,0,4,4,4,,,,,,,,,29.13681220000217,None,2,0,0.25057789999846136,29.13681220000217,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-B_1_2linestimulus3.png,TMT-B_1_2greenlinestimulus3.png,TMT-B_1_2redlinestimulus3.png,10,,C,,,,,,,,,0,5,5,5,,,,,,,,,29.470073700002104,None,2,1,0.261619700002484,29.470073700002104,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-B_1_2linestimulus4.png,TMT-B_1_2greenlinestimulus4.png,TMT-B_1_2redlinestimulus4.png,10,,4,,,,,,,,,0,6,6,6,,,,,,,,,29.81111349999992,None,2,0,0.18991060000189464,29.81111349999992,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,3,TMT-B_1_2linestimulus5.png,TMT-B_1_2greenlinestimulus5.png,TMT-B_1_2redlinestimulus5.png,10,,D,,,,,,,,,0,7,7,7,,,,,,,,,30.081884300001548,None,2,0,0.22501469999770052,30.081884300001548,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-B_1_2linestimulus6.png,TMT-B_1_2greenlinestimulus6.png,TMT-B_1_2redlinestimulus6.png,10,,5,,,,,,,,,0,8,8,8,,,,,,,,,30.393790800000716,None,2,0,0.21985420000055456,30.393790800000716,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,3,TMT-B_1_2linestimulus7.png,TMT-B_1_2greenlinestimulus7.png,TMT-B_1_2redlinestimulus7.png,10,,E,,,,,,,,,0,9,9,9,,,,,,,,,30.692254699999467,None,2,0,0.32578270000158227,30.692254699999467,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-B_1_2linestimulus8.png,TMT-B_1_2greenlinestimulus8.png,TMT-B_1_2redlinestimulus8.png,10,,6,,,,,,,,,0,10,10,10,,,,,,,,,31.109048100002838,None,2,0,0.40947849999793107,31.109048100002838,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-B_1_2linestimulus9.png,TMT-B_1_2greenlinestimulus9.png,TMT-B_1_2redlinestimulus9.png,10,,F,,,,,,,,,0,11,11,11,,,,,,,,,31.588182100000267,None,2,1,0.7460713000000396,31.588182100000267,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,None,None,TMT-B_1_2greenlinestimulus10.png,TMT-B_1_2redlinestimulus10.png,1,,None,,,,,,,,,0,12,12,12,,,,,,,,,32.41450520000217,None,None,1,,32.41450520000217,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4117533000026,None,,,,,,,
